id,title,type,persona,moscow,points,milestone,status,area,acceptance_criteria,evidence
D1,"Problem brief: stakeholders, personas, current-process evidence, user stories, misuse cases, success metrics",story,Kavita (CISO),Must,5,M1 Discovery and design,delivered,model,Every persona maps to user stories with acceptance criteria; misuse cases each name a design response; ten measurable gates,docs/01-industry-problem-brief.md
D2,"Design pack: C4 diagrams, sequence diagrams, state machine, database and feature schemas, ADRs",story,Arjun (mail admin),Must,5,M1 Discovery and design,delivered,systems,C4 levels 1-3; three sequence diagrams; review-queue state machine; ER diagram; eight ADRs each with the rejected alternatives,docs/02-architecture.md; docs/adr/
D3,"Threat model: adversary capabilities, attack taxonomy, STRIDE, out-of-scope threats",story,Kavita (CISO),Must,3,M1 Discovery and design,delivered,model,Six attack families with capabilities and costs; STRIDE per component; out-of-scope threats with reasons,docs/04-threat-model.md
D4,Requirements traceability matrix against the portfolio brief,story,Kavita (CISO),Must,2,M5 Evaluation and release,delivered,systems,"Every portfolio requirement maps to evidence (file, test or command) and a status; gaps stated honestly",docs/12-requirements-traceability.md
B1,Three independent feature families with clean interfaces,story,Meera (analyst),Must,8,M2 Core detector,delivered,model,"265 features in a fixed order across email (125), URL (107) and behavioural (33) families; the ordered list is saved with the model and verified on load","src/phishguard/features/; tests/unit/test_features.py, test_urls.py"
B2,Leakage-safe campaign-grouped split with an audit that can fail the build,story,Kavita (CISO),Must,5,M2 Core detector,delivered,data,No campaign appears in both train and test; near-duplicates scrubbed; training refuses to run if the audit fails,src/phishguard/data/splits.py; tests/unit/test_splits.py; gate G10
B3,Calibrated fusion over heterogeneous members,story,Arjun (mail admin),Must,8,M2 Core detector,delivered,model,Four members fused on a disjoint stacking pool and calibrated on a third pool; ECE <= 0.08 (gate G4),src/phishguard/models/detector.py; gate G4
B4,Threat-informed attack taxonomy and semantic-preserving transform suite,story,Kavita (CISO),Must,8,M3 Adversarial and defences,delivered,model,Each transform preserves the payload; transforms cannot fabricate the victim's history; budgeted decision-based attacker,src/phishguard/adversarial/; tests/unit/test_transforms.py
B5,"Named, individually ablatable defensive controls",story,Kavita (CISO),Must,5,M3 Adversarial and defences,delivered,model,"Six controls (D-NORM, D-URL, D-ADVTRAIN, D-ENSEMBLE, D-ABSTAIN, D-VELOCITY), each switchable and measured by the defence ablation",src/phishguard/defenses/; docs/07 section 7.6
B6,Baseline comparison: rule checklist and conventional text model,experiment,Kavita (CISO),Must,3,M5 Evaluation and release,delivered,model,"B0 (37 rules) and B1 (TF-IDF + logistic regression) evaluated on the same split, clean and under attack; gates G8 and G9",src/phishguard/models/baseline.py; docs/07 section 7.3
B7,Evaluation dossier with automated go/no-go gates,story,Kavita (CISO),Must,5,M5 Evaluation and release,delivered,model,phishguard evaluate writes evaluation.json/md and exits non-zero if any of 10 gates fails; CI runs it,src/phishguard/eval/; .github/workflows/ci.yml
B8,"Serving API with authentication, audit trail and human oversight",story,Arjun (mail admin),Must,8,M4 Service and operations,delivered,systems,Role-based API keys; content-free audit record per decision; feedback endpoint; 401/403/429 behaviour tested,src/phishguard/service/; tests/security/
B9,Analyst console with evidence and feedback,story,Meera (analyst),Must,5,M4 Service and operations,delivered,systems,"Assess a message, read plain-language evidence and member scores, record feedback; no build step",src/phishguard/static/index.html
B10,"Containerised deployment, observability and CI",story,Arjun (mail admin),Must,5,M4 Service and operations,delivered,systems,"docker compose up --build trains and serves; Prometheus, Grafana and alert rules provisioned; CI runs lint, tests, security scan, gates and a container smoke test",docker/; docker-compose.yml; .github/workflows/ci.yml
B11,"Model card, threat model and residual-risk register",story,Kavita (CISO),Must,3,M5 Evaluation and release,delivered,model,Model card generated from the registry and the latest evaluation; residual risk per attack family,docs/04; artifacts/reports/model_card.md
B20,"Review queue with case states, owners, priorities and SLAs",story,Meera (analyst),Must,8,M4 Service and operations,delivered,systems,"Only the assignee or an admin may act on a claimed case (403 otherwise); concurrent claims give one winner (409); P1 1 h, P2 4 h, P3 24 h; every transition is an event",src/phishguard/service/workflow.py; tests/unit/test_workflow.py; ADR-007
B21,Reporter role and report page for email users,story,Rohan (reporter),Must,3,M4 Service and operations,delivered,systems,A reporter can report a message and read the outcome of their own reports; never sees a score or band; cannot scan,src/phishguard/static/report.html; test_a_user_report_is_queued_without_revealing_the_score
B12,Modality ablation quantifying each family's contribution,experiment,Kavita (CISO),Should,3,M5 Evaluation and release,delivered,model,All seven family combinations trained and evaluated on the same split,docs/07 section 7.5
B13,Defence ablation quantifying each control's contribution,experiment,Kavita (CISO),Should,3,M5 Evaluation and release,delivered,model,"Each control removed in turn, model retrained and attacked",docs/07 section 7.6
B14,Per-decision counterfactual explanations,story,Meera (analyst),Should,5,M2 Core detector,delivered,model,Evidence items state how the score would change if a feature were normal; mitigating evidence shown,src/phishguard/explain/; ADR-005
B15,Adversarial probe endpoint for post-deployment assurance,story,Meera (analyst),Should,3,M3 Adversarial and defences,delivered,systems,Admin-only; audited; alert when a probe evades,POST /api/v1/adversarial/probe; docker/alerts.yml
B16,Public-corpus loaders and fetcher with provenance and terms,story,Kavita (CISO),Should,5,M2 Core detector,delivered,data,mbox/maildir loaders; corpus audit for era and label confounds; fetch-public refuses without terms acknowledgement and records SHA-256 provenance,"src/phishguard/data/loaders.py, fetch.py; docs/11"
B22,Hard-case benchmark (PG-HARD) and expected-cost model,experiment,Kavita (CISO),Should,5,M5 Evaluation and release,delivered,model,192 curated hard records; silent delivery and false blocks against both baselines; thresholds priced,src/phishguard/data/hardcases.py; eval/hard_eval.py; eval/cost.py
B23,Request tracing with W3C trace context and per-stage timings,story,Arjun (mail admin),Should,3,M4 Service and operations,delivered,systems,traceparent continued or started; Server-Timing and stage_ms on every scan; trace id on the audit record; no content in traces,src/phishguard/service/tracing.py; tests/unit/test_tracing.py; ADR-008
B24,Load test and resource measurements,experiment,Arjun (mail admin),Should,3,M5 Evaluation and release,delivered,systems,"Throughput, p50/p95/p99, errors and memory at 1-8 concurrent requests and with 1-2 processes; p95 within 150 ms up to 8 in flight",src/phishguard/eval/loadtest.py; docs/07 section 7.14
B25,Statistical drift detection with a calibrated false-alarm rate,story,Arjun (mail admin),Should,5,M4 Service and operations,delivered,model,"Alarm levels calibrated on stable campaign windows; console, API and CLI",src/phishguard/monitoring/drift.py; tests/unit/test_drift.py
B26,Content-addressed dataset versions and optional MLflow tracking,story,Kavita (CISO),Should,2,M5 Evaluation and release,delivered,data,"Fingerprint of train and test sets in the manifest and the dossier; --mlflow logs params, metrics and artefacts when installed",src/phishguard/data/fingerprint.py; src/phishguard/tracking.py
B17,Transformer member (DistilBERT),story,Kavita (CISO),Could,8,M6 Pilot readiness,designed,model,Guarded behind the transformer extra; off by default; must beat the ablation to be enabled,pyproject.toml [transformer]
B18,Temporal-drift evaluation over a longer horizon,experiment,Kavita (CISO),Could,5,M6 Pilot readiness,designed,data,"Train on earlier campaigns, test on later ones, on real longitudinal data",--split temporal
B19,Active learning from the analyst queue,story,Meera (analyst),Will not,5,M6 Pilot readiness,not planned,model,Deliberately not built: it is the poisoning vector OOS-3,docs/04 section 4.9
B27,Evaluate the email+url configuration on the organisation's own labelled mail,experiment,Kavita (CISO),Must,5,M6 Pilot readiness,planned,data,"False-positive rate inside the G3 budget on real mail; by sender language and for new domains (RAI-1, RAI-2)",docs/07 sections 7.16-7.17
B28,Independent red-team exercise against the deployed API,experiment,Kavita (CISO),Must,5,M6 Pilot readiness,planned,model,A tester with no knowledge of the transform list tries to reach ALLOW within a query budget; findings added to the suite,docs/07 section 7.13 item 3
B29,Supplier register as behavioural context,story,Rohan (reporter),Should,3,M6 Pilot readiness,planned,data,"A known supplier's new domain is treated as a relationship, not a stranger; HN-REBRAND false blocks fall",docs/07 section 7.16 RAI-1
B30,Single sign-on (OIDC) for the console,story,Arjun (mail admin),Could,5,M6 Pilot readiness,planned,systems,Console login through the identity provider; roles mapped from groups; API keys kept for machine clients,docs/01 section 1.7
B31,OpenTelemetry exporter for traces,story,Arjun (mail admin),Could,2,M6 Pilot readiness,planned,systems,Spans exported over OTLP when a collector is configured; in-process ring kept for air-gapped installs,ADR-008
B32,PostgreSQL audit store for multi-node deployments,story,Arjun (mail admin),Could,5,M6 Pilot readiness,planned,systems,Same DecisionStore interface; migration of schema version 2; chosen when more than one node writes,ADR-004
